Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,primary,Sanitation,2002,100,2268210,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2002,100,2039088,Basic service
sdg,Australia and New Zealand,total,Sanitation,2002,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2002,100,373655,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2002,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2002,100,721232,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2002,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2002,100,3959722,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2002,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2002,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2002,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2002,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2002,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2002,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2003,100,4693580,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2003,100,2262123,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2003,100,2063051,Basic service
sdg,Australia and New Zealand,total,Hygiene,2003,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2003,100,368406,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2003,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2003,100,718007,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2003,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2003,100,3975574,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2003,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2003,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2003,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2003,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2003,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2003,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2003,100,4693580,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2003,100,2262123,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2003,100,2063051,Basic service
sdg,Australia and New Zealand,total,Sanitation,2003,0,0,Insufficient data
